"BehaviorSpace results (NetLogo 6.1.0)"
"Assignment2_basic.nlogo"
"Model Evalutation"
"11/22/2019 09:53:55:738 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-18","18","-16","16"
"[run number]","conditions-mode","[step]","arrived-left","arrived-right","counter-collisions","mean aircraft-waiting-list","mean occupied-links-list","mean used-capacity-list","mean travel-distance-list"
"3","normal","5000","1920","1808","0","2.305405592276595","54.24956796767947","24.31577192397466","31.666666666666668"
"2","normal","5000","1907","1820","0","2.303367566223318","54.44162997985154","24.314771590530178","31.6651845264562"
"4","normal","5000","1914","1814","0","2.306304442618015","54.21369904928572","24.316105368456153","31.666666666666668"
"1","normal","5000","1919","1809","0","2.3137285077932144","54.3640179626982","24.317772590863623","31.666666666666668"
"5","normal","5000","1923","1805","0","2.2695971120808545","54.40876207625254","24.3081027009003","31.666666666666668"
"6","normal","5000","1926","1802","0","2.3057843881814377","54.23774400123525","24.31577192397466","31.666666666666668"
"7","normal","5000","1913","1814","0","2.297313522939472","54.040922586935935","24.31410470156719","31.6651845264562"
"8","normal","5000","1923","1805","0","2.2933846770923068","54.234222482729535","24.312770923641214","31.666666666666668"
"9","normal","5000","1922","1806","0","2.303090811021008","54.249049391134605","24.314771590530178","31.666666666666668"
"10","normal","5000","1882","1846","0","2.303748592526031","54.258846720669","24.31510503501167","31.666666666666668"
