1,normal,799,282,295,0,57.75217299842850,24.31438127090300,31.651785714285700,33.42683138937240
4,normal,799,292,286,0,58.04984572403700,24.31103678929770,31.666666666666700,33.40195280844790
3,normal,799,288,290,0,58.05126772615450,24.31438127090300,31.666666666666700,33.40641705500430
2,normal,799,293,284,0,58.53775811261390,24.317725752508400,31.651785714285700,33.41088137129740
7,normal,799,294,284,0,58.833488559504800,24.321070234113700,31.666666666666700,33.435723526035200
8,normal,799,293,285,0,58.11438441777960,24.31103678929770,31.666666666666700,33.42239096939630
6,normal,799,286,292,0,58.26815632583560,24.321070234113700,31.666666666666700,33.415343514244400
5,normal,799,284,294,0,58.27440787205230,24.31103678929770,31.666666666666700,33.401954778735900
9,normal,799,295,283,0,58.44207951329820,24.321070234113700,31.666666666666700,33.41534623902890
10,normal,799,289,289,0,58.14496073471960,24.321070234113700,31.666666666666700,33.41534468412450
11,high,799,385,386,0,87.50941100304210,100.49163879598700,30.501672240802700,101.49548967530100
12,high,799,386,385,2,87.23466953695750,100.49163879598700,30.51839464882940,101.4888008048720
13,high,799,386,385,0,87.32329581636220,100.49163879598700,30.60200668896320,101.4754258506790
14,high,799,385,386,0,87.60199661911010,100.49832775919700,30.785953177257500,101.49549204872600
15,high,799,385,386,4,87.60044576093450,100.49832775919700,30.735785953177300,101.54231321998700
17,high,799,385,386,2,86.29041370247740,100.49832775919700,30.48494983277590,101.49549364172600
16,high,799,385,386,2,87.13806847260450,100.49832775919700,30.60200668896320,101.49549027267700
18,high,799,385,386,2,87.87290938779420,100.49832775919700,30.551839464882900,101.50217893826900
19,high,799,385,386,2,86.46246718951850,100.48494983277600,30.535117056856200,101.48211246395000
20,high,799,385,386,2,87.07718063851200,100.49163879598700,30.468227424749200,101.49548972884800
21,asymmetric,799,385,374,0,69.43875746857710,38.00334448160540,31.26689189189190,38.96641130847400
22,asymmetric,799,385,377,0,69.64956291463730,36.719063545150500,31.262626262626300,37.835206886870600
24,asymmetric,799,385,379,0,69.36177695534300,36.79933110367890,31.258389261745000,37.79213590359380
23,asymmetric,799,385,374,0,70.71328826117560,40.15719063545150,31.29194630872480,41.20154735291290
25,asymmetric,799,385,376,0,70.14732210264170,38.32107023411370,31.26689189189190,39.42587517477760
26,asymmetric,799,385,375,0,69.36639519499840,36.99665551839470,31.254180602006700,38.00353437488060
27,asymmetric,799,385,370,0,71.44355829082140,40.424749163879600,31.262626262626300,41.38404647530570
28,asymmetric,799,386,372,0,71.1041159058484,40.63210702341140,31.245791245791200,41.55912926952570
29,asymmetric,799,385,377,0,70.28335508398150,37.87959866220740,31.258389261745000,38.872677839393800
30,asymmetric,799,385,372,0,70.61476882661490,38.62876254180600,31.26689189189190,39.581280251676300
