"BehaviorSpace results (NetLogo 6.1.0)"
"Assignment2_basic.nlogo"
"Model Evalutation"
"11/22/2019 12:19:15:905 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-18","18","-16","16"
"[run number]","conditions-mode","[step]","arrived-left","arrived-right","counter-collisions","mean occupied-links-list","mean used-capacity-list","mean travel-distance-list","mean travel-time-list"
"1","normal","800","288","290","0","55.19025166017342","23.897371714643302","31.66089965397924","33.39704707411588"
"2","normal","800","287","291","0","55.49201279888762","23.90112640801001","31.66089965397924","33.402247497121266"
"3","normal","800","294","284","0","55.370764002813544","23.897371714643302","31.66089965397924","33.39704710245831"
"4","normal","800","275","302","0","55.27712043838846","23.899874843554443","31.655112651646448","33.400514180053754"
"6","normal","800","278","300","0","55.809925638800564","23.90362953692115","31.66089965397924","33.40571427452883"
"5","normal","800","272","306","0","55.70275454437106","23.898623279098874","31.66089965397924","33.39878010518467"
"7","normal","800","277","301","0","55.739145128117045","23.90112640801001","31.66089965397924","33.402245966471256"
"8","normal","800","285","293","0","55.51439783614616","23.90863579474343","31.66089965397924","33.412646011451784"
"9","normal","800","285","293","0","56.045823900543496","23.902377972465583","31.66089965397924","33.40397964535383"
"10","normal","800","289","289","0","55.52703746318978","23.897371714643302","31.66089965397924","33.39704807728845"
"11","high","800","385","386","0","88.53634003220112","85.28160200250313","31.783398184176395","57.98080967152282"
"12","high","800","385","386","0","89.01305100267085","87.0488110137672","31.763942931258107","59.09769768369601"
"14","high","800","386","385","0","88.85335265010345","87.16645807259074","31.64721141374838","58.23795216418215"
"13","high","800","385","386","0","89.42870064986295","88.32290362953692","31.7769130998703","59.160035747815954"
"16","high","800","385","386","0","88.04301128496613","84.63329161451814","31.82230869001297","55.91846175083113"
"15","high","800","385","386","0","89.17255863794121","87.31914893617021","31.750972762645915","57.54704080213563"
"17","high","800","385","386","0","88.39891397718486","85.46683354192741","31.74448767833982","57.521066845470344"
"18","high","800","385","386","0","89.17414514513628","86.90112640801001","31.75745784695201","57.47691099516578"
"21","asymmetric","800","385","289","0","66.15093403575315","40.04380475594493","31.387240356083087","40.6411521049076"
"22","asymmetric","800","385","280","0","66.58679249485182","41.92866082603254","31.42105263157895","41.680931137535794"
"24","asymmetric","800","385","301","0","65.51881845292145","38.876095118898625","31.377551020408163","41.61099436902644"
"23","asymmetric","800","385","289","0","68.41570986587215","44.690863579474346","31.387240356083087","44.761351304974475"
"25","asymmetric","800","385","305","0","68.38270644834975","43.06758448060075","31.36231884057971","41.36542453313793"
"26","asymmetric","800","386","290","0","66.79968646445833","42.00375469336671","31.39792899408284","42.7039170368754"
"20","high","800","385","386","0","88.4159148884182","85.41176470588235","31.750972762645915","57.0457398051047"
"19","high","800","386","385","0","89.19886579587377","88.02503128911138","31.731517509727627","59.053543212240854"
"28","asymmetric","800","385","295","0","65.77511699904157","38.86232790988736","31.397058823529413","41.574581796263004"
"27","asymmetric","800","385","287","0","67.65742363810953","44.191489361702125","31.40625","44.20737430363617"
"29","asymmetric","800","385","298","0","67.63868832672107","43.21151439299124","31.38360175695461","42.931299009378435"
"30","asymmetric","800","385","288","0","67.36616506544765","43.04755944931164","31.40416047548291","42.63171352210986"
