"BehaviorSpace results (NetLogo 6.1.0)"
"Assignment2_basic.nlogo"
"experiment"
"10/05/2019 20:39:53:684 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-18","18","-16","16"
"[run number]","stochastic-departure","taxiway-capacity","new_weight","[step]","mean waiting-time-list","mean interarrival-time-list","mean travel-time-list"
"2","false","100","1","2000","8.904907975460123","2.014833759590793","41.5692267336759"
"3","false","100","2","2000","10.824858757062147","2.0241521068859196","43.49944687228918"
"4","false","100","2","2000","11.216410256410256","2.021036428937917","43.89098845766454"
"1","false","100","1","2000","11.905128205128205","2.021560574948665","44.57714615299018"
"6","false","100","3","2000","7.729508196721311","2.018964633521271","40.39979294040547"
"5","false","100","3","2000","9.263347022587268","2.0231124807395995","41.92680065228593"
"7","false","100","4","2000","13.31237113402062","2.031459515214028","45.98012620795701"
"8","false","100","4","2000","12.174562306900103","2.0298969072164947","44.835445498613666"
"9","false","100","5","2000","7.6697435897435895","2.0205128205128204","40.341740271447215"
"10","false","100","5","2000","7.241290983606557","2.0184426229508197","39.90645068184378"
